name,calories,protein,fat,sodium
Muesli Raisins Dates & Almonds,150.0,4,3,95
Muesli Raisins Peaches & Pecans,150.0,4,3,150
Just Right Fruit & Nut,140.0,3,1,170
Nutri-Grain Almond-Raisin,140.0,3,2,220
Basic 4,130.0,3,2,210
Post Nat. Raisin Bran,120.0,3,1,200
Cinnamon Toast Crunch,120.0,1,3,210
Honey Graham Ohs,120.0,1,2,220
Fruit & Fibre Dates Walnuts and Oats,120.0,3,2,160
100% Natural Bran,120.0,3,5,15
Nut&Honey Crunch,120.0,2,1,190
Great Grains Pecan,120.0,3,3,75
Raisin Bran,120.0,3,1,210
Cap'n'Crunch,120.0,1,2,220
Grape-Nuts,110.0,3,0,170
Rice Chex,110.0,1,0,240
Rice Krispies,110.0,2,0,290
Smacks,110.0,2,1,70
Lucky Charms,110.0,2,1,180
Kix,110.0,2,1,260
